LocationID,Suburb,State,Postcode,Latitude,Longitude
S-24,BAKERS CREEK,nsw,2358,-31.93333244,152.1000061
S-85,BAKERS CREEK,nsw,2422,-31.93333244,152.1000061
S-53,BAKERS SWAMP,nsw,2820,-32.75,148.91667175
S-11,BALALA,nsw,2358,-30.60000038,151.33332825
S-97,BALARANG,nsw,2529,-34.54833221,150.83332825
S-52,BALCOLYN,nsw,2264,-33.08333206,151.55000305
S-69,BALD BLAIR,nsw,2365,-30.21666718,151.78334045
S-89,BALD HILLS,nsw,2549,-36.90000153,149.83332825
S-36,BALD NOB,nsw,2370,-29.61666679,151.96665955
S-14,BALD RIDGE,nsw,2795,-33.93333435,149.43333435
S-63,BALDERSLEIGH,nsw,2365,-30.25,151.41667175
S-73,BALDRY,nsw,2867,-32.86666489,148.5
S-74,BALGOWLAH,nsw,2093,-33.79999924,151.25
S-51,BALGOWLAH HEIGHTS,nsw,2093,-33.78333282,151.2666626
S-35,BALGOWNIE,nsw,2519,-34.38333511,150.8666687
S-21,BALICKERA,nsw,2324,-32.63333511,151.80000305
S-98,BALLADORAN,nsw,2831,-31.85000038,148.6499939
S-30,BALLALABA,nsw,2622,-35.54999924,149.6333313
S-55,BALLDALE,nsw,2646,-35.84999847,146.5166626
S-86,BALLENGARRA,nsw,2441,-31.31666756,152.69999695
S-66,BALLIMORE,nsw,2830,-32.18333435,148.8833313
S-71,BALLINA,nsw,2478,-28.83333397,153.53334045
S-56,BALLYROE,nsw,2795,-34.04999924,149.56666565
S-66,BALMAIN,nsw,2041,-33.84999847,151.16667175
S-61,BALMAIN EAST,nsw,2041,-33.83333206,151.18333435
S-10,BALMORAL,nsw,2088,-33.83166504,151.25166321
S-66,BALMORAL,nsw,2283,-33.05333328,151.58166504
S-2,BALMORAL VILLAGE,nsw,2571,-34.31666565,150.5166626
S-9,BALRANALD,nsw,2715,-34.63333511,143.56666565
S-39,BALWARRA HEIGHTS,nsw,2460,-29.70000076,152.93333435
S-67,BAMARANG,nsw,2540,-34.90000153,150.5166626
S-19,BANDON,nsw,2871,-33.48333359,148.30000305
S-95,BANDON GROVE,nsw,2420,-32.29999924,151.71665955
S-19,BANGADANG,nsw,2729,-35.23333359,147.94999695
S-8,BANGALEE,nsw,2541,-34.83333206,150.5166626
S-82,BANGALOW,nsw,2479,-28.68333244,153.5166626
S-85,BANGOR,nsw,2234,-34,151.03334045
S-82,BANKSIA,nsw,2216,-33.95000076,151.1333313
S-53,BANKSMEADOW,nsw,2019,-33.96666718,151.21665955
S-18,BANKSTOWN,nsw,2200,-33.91666794,151.03334045
S-32,BANKSTOWN AERODROME,nsw,2200,-33.91666794,150.9833374
S-6,BANNABY,nsw,2580,-34.43333435,149
S-34,BANNISTER,nsw,2580,-34.59999847,149.4833374
S-50,BANOON,nsw,2347,-30.53333282,150.3666687
S-50,BANORA POINT,nsw,2486,-28.21666718,153.53334045
S-1,BANYABBA,nsw,2469,-29.33333397,153.0166626
S-56,BAR BEACH,nsw,2300,-32.93333435,151.7666626
S-74,BAR POINT,nsw,2083,-33.48333359,151.16667175
S-2,BARA,nsw,2850,-32.54999924,149.83332825
S-88,BARADINE,nsw,2396,-30.95000076,149.06666565
S-35,BARAIMAL,nsw,2470,-28.71666718,152.9833374
S-12,BARBIGAL,nsw,2830,-32.21666718,148.83332825
S-54,BARCOONGERE,nsw,2460,-29.91666603,153.21665955
S-33,BARDEN RIDGE,nsw,2234,-34.01666641,151
S-2,BARDWELL PARK,nsw,2207,-33.93333435,151.1333313
S-13,BARDWELL VALLEY,nsw,2207,-33.93999863,151.12666321
S-60,BARELLAN,nsw,2665,-34.28333282,146.56666565
S-61,BARGO,nsw,2574,-34.29999924,150.58332825
S-23,BARHAM,nsw,2732,-35.63333511,144.1166687
S-32,BARIGAN,nsw,2850,-32.43333435,149.96665955
S-92,BARKERS VALE,nsw,2474,-28.53333282,153.1166687
S-64,BARMEDMAN,nsw,2668,-34.15000153,147.3833313
S-43,BARNEYS REEF,nsw,2852,-32.16666794,149.5
S-23,BARNSLEY,nsw,2278,-32.93333435,151.58332825
S-86,BAROOGA,nsw,3644,-35.90000153,145.68333435
S-63,BARRABA,nsw,2347,-30.38333321,150.6166687
S-57,BARRACK HEIGHTS,nsw,2528,-34.56666565,150.8500061
S-96,BARRACK POINT,nsw,2528,-34.56666565,150.8666687
S-10,BARRAGANYATTI,nsw,2441,-30.85000038,152.93333435
S-61,BARRAGGA BAY,nsw,2546,-36.50333405,150.05332947
S-74,BARRALLIER,nsw,2575,-34.25,150.05000305
S-88,BARRATTA,nsw,2710,-35.16666794,144.53334045
S-19,BARREN GROUNDS,nsw,2577,-34.66666794,150.71665955
S-30,BARRENGARRY,nsw,2577,-34.71666718,150.53334045
S-95,BARRETTS CREEK,nsw,2460,-29.33333397,152.75
S-82,BARRINGELLA,nsw,2540,-34.90000153,150.44999695
S-25,BARRINGTON,nsw,2422,-31.98333359,151.8500061
S-80,BARRINGTON TOPS,nsw,2422,-32.01666641,151.4833374
S-27,BARRINGUN,nsw,2840,-29.01666641,145.69999695
S-92,BARRY,nsw,2799,-31.58333397,151.31666565
S-82,BARYULGIL,nsw,2460,-29.21666718,152.6000061
S-33,BASIN PLAIN,nsw,2380,-31.10000038,150.03334045
S-20,BASIN VIEW,nsw,2540,-35.09999847,150.56666565
S-0,BASS HILL,nsw,2197,-33.90000153,151
S-42,BASSENDEAN,nsw,2365,-30.04999924,151.1333313
S-7,BATAR CREEK,nsw,2439,-31.64999962,152.66667175
S-9,BATEAU BAY,nsw,2261,-33.38333511,151.4833374
S-24,BATEHAVEN,nsw,2536,-35.73333359,150.19999695
S-93,BATEMANS BAY,nsw,2536,-35.71666718,150.18333435
