Suburb,Postcode,Longitude,Latitude
BARAIMAL,2470,152.9833374,-28.71666718
BARBIGAL,2830,148.83332825,-32.21666718
BARCOONGERE,2460,153.21665955,-29.91666603
BARDEN RIDGE,2234,151,-34.01666641
BARDWELL PARK,2207,151.1333313,-33.93333435
BARDWELL VALLEY,2207,151.12666321,-33.93999863
BARELLAN,2665,146.56666565,-34.28333282
BARGO,2574,150.58332825,-34.29999924
BARHAM,2732,144.1166687,-35.63333511
BARIGAN,2850,149.96665955,-32.43333435
BARKERS VALE,2474,153.1166687,-28.53333282
BARMEDMAN,2668,147.3833313,-34.15000153
BARNEYS REEF,2852,149.5,-32.16666794
BARNSLEY,2278,151.58332825,-32.93333435
BAROOGA,3644,145.68333435,-35.90000153
BARRABA,2347,150.6166687,-30.38333321
BARRACK HEIGHTS,2528,150.8500061,-34.56666565
BARRACK POINT,2528,150.8666687,-34.56666565
BARRAGANYATTI,2441,152.93333435,-30.85000038
BARRAGGA BAY,2546,150.05332947,-36.50333405
BARRALLIER,2575,150.05000305,-34.25
BARRATTA,2710,144.53334045,-35.16666794
BARREN GROUNDS,2577,150.71665955,-34.66666794
BARRENGARRY,2577,150.53334045,-34.71666718
BARRETTS CREEK,2460,152.75,-29.33333397
BARRINGELLA,2540,150.44999695,-34.90000153
BARRINGTON,2422,151.8500061,-31.98333359
BARRINGTON TOPS,2422,151.4833374,-32.01666641
BARRINGUN,2840,145.69999695,-29.01666641
BARRY,2799,151.31666565,-31.58333397
BARYULGIL,2460,152.6000061,-29.21666718
BASIN PLAIN,2380,150.03334045,-31.10000038
BASIN VIEW,2540,150.56666565,-35.09999847
BASS HILL,2197,151,-33.90000153
BASSENDEAN,2365,151.1333313,-30.04999924
BATAR CREEK,2439,152.66667175,-31.64999962
BATEAU BAY,2261,151.4833374,-33.38333511
BATEHAVEN,2536,150.19999695,-35.73333359
BATEMANS BAY,2536,150.18333435,-35.71666718
BATHAMPTON,2795,149.3999939,-33.48333359
BATHURST,2795,149.56666565,-33.41666794
BATLOW,2730,148.1333313,-35.51666641
BAULKHAM HILLS,1755,150.992,-33.752
BAULKHAM HILLS,2153,151,-33.76666641
BAWLEY POINT,2539,150.3833313,-35.5
BAYLDON,2452,153.08332825,-30.35000038
BAYVIEW,2104,151.28334045,-33.65000153
BEACON HILL,2100,151.25,-33.75
BEACONSFIELD,2014,151.18333435,-33.91666794
BEACONSFIELD,2015,151.18333435,-33.91666794
BEAN CREEK,2469,152.58332825,-28.58333397
BEARBONG,2827,148.8833313,-31.63333321
BEARGAMIL,2870,148.28334045,-33
BEAUMONT,2577,150.56666565,-34.78333282
BEAUMONT HILLS,2155,-33.70119095,150.93917847
BEAURY CREEK,2475,152.5166626,-28.45000076
BECKOM,2665,146.96665955,-34.31666565
BECTIVE,2340,150.7333374,-30.95000076
BECTRIC,2665,147.2666626,-34.5
BEDGEREBONG,2871,147.68333435,-33.33333206
BEECHWOOD,2446,152.66667175,-31.43333244
BEECROFT,2119,151.05000305,-33.75
BEELBANGERA,2680,146.1000061,-34.25
BEEMUNNEL,2824,147.8500061,-31.64999962
